valve_no,taxon,no_of_species,no_of_p,no_of_fp,no_of_b,p_pc,fp_pc,b_pc,efficiency,no_of_p_oc,no_of_p_brev,no_of_s_con,no_of_s_pin,no_of_a_ped,no_of_s_rot,p_oc_pc,p_brev_pc,s_con_pc,s_pin_pc,a_ped_pc,s_rot_pc
1,Gyrosigma attenuatum,1,0,0,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Cyclotella ocellata,2,1,0,1,50,0,50,0,1,0,0,0,0,0,50,0,0,0,0,0
3,Pseudostaurosira brevistriata,3,1,1,1,33.33333333333333,33.33333333333333,33.33333333333333,0,1,1,0,0,0,0,33.33333333333333,33.33333333333333,0,0,0,0
4,Cyclotella minuscula,4,2,1,1,50,25,25,0,1,1,0,0,0,0,25,25,0,0,0,0
5,Cyclotella ocellata,4,3,1,1,60,20,20,0.19999999999999996,2,1,0,0,0,0,40,20,0,0,0,0
6,Cyclotella ocellata,4,4,1,1,66.66666666666666,16.666666666666664,16.666666666666664,0.33333333333333337,3,1,0,0,0,0,50,16.666666666666664,0,0,0,0
7,Naviculoid spp.,5,4,1,2,57.14285714285714,14.285714285714285,28.57142857142857,0.2857142857142857,3,1,0,0,0,0,42.857142857142854,14.285714285714285,0,0,0,0
8,Cavinula scutelloides,6,4,1,3,50,12.5,37.5,0.25,3,1,0,0,0,0,37.5,12.5,0,0,0,0
9,Aneumastus minor,7,4,1,4,44.44444444444444,11.11111111111111,44.44444444444444,0.2222222222222222,3,1,0,0,0,0,33.33333333333333,11.11111111111111,0,0,0,0
10,Cyclotella ocellata,7,5,1,4,50,10,40,0.30000000000000004,4,1,0,0,0,0,40,10,0,0,0,0
11,Amphora copulata,8,5,1,5,45.45454545454545,9.090909090909092,45.45454545454545,0.2727272727272727,4,1,0,0,0,0,36.36363636363637,9.090909090909092,0,0,0,0
12,Cyclotella ocellata,8,6,1,5,50,8.333333333333332,41.66666666666667,0.33333333333333337,5,1,0,0,0,0,41.66666666666667,8.333333333333332,0,0,0,0
13,Cyclotella ocellata,8,7,1,5,53.84615384615385,7.6923076923076925,38.46153846153847,0.3846153846153846,6,1,0,0,0,0,46.15384615384615,7.6923076923076925,0,0,0,0
14,Cyclotella ocellata,8,8,1,5,57.14285714285714,7.142857142857142,35.714285714285715,0.4285714285714286,7,1,0,0,0,0,50,7.142857142857142,0,0,0,0
15,Staurosira venter,9,8,2,5,53.333333333333336,13.333333333333334,33.33333333333333,0.4,7,1,1,0,0,0,46.666666666666664,6.666666666666667,6.666666666666667,0,0,0
16,Staurosira venter,9,8,3,5,50,18.75,31.25,0.4375,7,1,2,0,0,0,43.75,6.25,12.5,0,0,0
17,Staurosira venter,9,8,4,5,47.05882352941176,23.52941176470588,29.411764705882355,0.47058823529411764,7,1,3,0,0,0,41.17647058823529,5.88235294117647,17.647058823529413,0,0,0
18,Staurosira venter,9,8,5,5,44.44444444444444,27.77777777777778,27.77777777777778,0.5,7,1,4,0,0,0,38.88888888888889,5.555555555555555,22.22222222222222,0,0,0
19,Pseudostaurosira brevistriata,9,8,6,5,42.10526315789473,31.57894736842105,26.31578947368421,0.5263157894736843,7,2,4,0,0,0,36.84210526315789,10.526315789473683,21.052631578947366,0,0,0
20,Pseudostaurosira brevistriata,9,8,7,5,40,35,25,0.55,7,3,4,0,0,0,35,15,20,0,0,0
21,Pseudostaurosira brevistriata,9,8,8,5,38.095238095238095,38.095238095238095,23.809523809523807,0.5714285714285714,7,4,4,0,0,0,33.33333333333333,19.047619047619047,19.047619047619047,0,0,0
22,Pseudostaurosira brevistriata,9,8,9,5,36.36363636363637,40.909090909090914,22.727272727272727,0.5909090909090908,7,5,4,0,0,0,31.818181818181817,22.727272727272727,18.181818181818183,0,0,0
23,Pseudostaurosira brevistriata,9,8,10,5,34.78260869565217,43.47826086956522,21.73913043478261,0.6086956521739131,7,6,4,0,0,0,30.434782608695656,26.08695652173913,17.391304347826086,0,0,0
24,Cyclotella ocellata,9,9,10,5,37.5,41.66666666666667,20.833333333333336,0.625,8,6,4,0,0,0,33.33333333333333,25,16.666666666666664,0,0,0
25,Karayevia clevei,10,9,10,6,36,40,24,0.6,8,6,4,0,0,0,32,24,16,0,0,0
26,Cyclotella ocellata,10,10,10,6,38.46153846153847,38.46153846153847,23.076923076923077,0.6153846153846154,9,6,4,0,0,0,34.61538461538461,23.076923076923077,15.384615384615385,0,0,0
27,Cyclotella ocellata,10,11,10,6,40.74074074074074,37.03703703703704,22.22222222222222,0.6296296296296297,10,6,4,0,0,0,37.03703703703704,22.22222222222222,14.814814814814813,0,0,0
28,Cyclotella ocellata,10,12,10,6,42.857142857142854,35.714285714285715,21.428571428571427,0.6428571428571428,11,6,4,0,0,0,39.285714285714285,21.428571428571427,14.285714285714285,0,0,0
29,Sellaphora rotunda,11,12,10,7,41.37931034482759,34.48275862068966,24.137931034482758,0.6206896551724138,11,6,4,0,0,1,37.93103448275862,20.689655172413794,13.793103448275861,0,0,3.4482758620689653
30,Sellaphora rotunda,11,12,10,8,40,33.33333333333333,26.666666666666668,0.6333333333333333,11,6,4,0,0,2,36.666666666666664,20,13.333333333333334,0,0,6.666666666666667
31,Cavinula scutelloides,11,12,10,9,38.70967741935484,32.25806451612903,29.03225806451613,0.6451612903225806,11,6,4,0,0,2,35.483870967741936,19.35483870967742,12.903225806451612,0,0,6.451612903225806
