sample_no,count,taxon,pc_ab
1,300,p_oc,37
1,300,s_pin,14.000000000000002
1,300,a_ped,0.33333333333333337
1,400,p_oc,40.19253910950662
1,400,s_pin,12.996389891696749
1,400,a_ped,0.24067388688327318
1,500,p_oc,40.07455731593662
1,500,s_pin,12.861136999068034
1,500,a_ped,1.4911463187325256
65,300,p_oc,45.87458745874587
65,300,s_pin,19.141914191419144
65,300,a_ped,2.9702970297029703
65,400,p_oc,44.84412470023981
65,400,s_pin,17.505995203836928
65,400,a_ped,2.158273381294964
65,500,p_oc,43.7269372693727
65,500,s_pin,17.52767527675277
65,500,a_ped,1.6605166051660518
97,300,p_oc,74.46457990115321
97,300,s_pin,1.9769357495881383
97,300,a_ped,0.6589785831960462
97,400,p_oc,73.18840579710145
97,400,s_pin,4.3478260869565215
97,400,a_ped,0.4830917874396135
97,500,p_oc,75
97,500,s_pin,4.136690647482014
97,500,a_ped,0.3597122302158274
145,300,p_oc,73.51190476190477
145,300,s_pin,3.571428571428571
145,300,a_ped,0.2976190476190476
145,400,p_oc,72.72727272727273
145,400,s_pin,2.9484029484029484
145,400,a_ped,0.7371007371007371
145,500,p_oc,70.35957240038873
145,500,s_pin,2.3323615160349855
145,500,a_ped,2.1379980563654035
225,300,p_oc,78
225,300,s_pin,1.3333333333333335
225,300,a_ped,0.33333333333333337
225,400,p_oc,75.3441802252816
225,400,s_pin,1.0012515644555695
225,400,a_ped,0.2503128911138924
225,500,p_oc,73.94296951819076
225,500,s_pin,1.5732546705998034
225,500,a_ped,0.5899705014749262
233,300,p_oc,67.52411575562701
233,300,s_pin,0.6430868167202572
233,300,a_ped,2.8938906752411575
233,400,p_oc,67.32673267326733
233,400,s_pin,0.7425742574257426
233,400,a_ped,3.4653465346534658
233,500,p_oc,66.20553359683794
233,500,s_pin,0.9881422924901186
233,500,a_ped,3.9525691699604746
241,300,p_oc,61.12676056338028
241,300,s_pin,1.4084507042253522
241,300,a_ped,0
241,400,p_oc,62.95884315906562
241,400,s_pin,1.3348164627363739
241,400,a_ped,0.22246941045606228
241,500,p_oc,64.28571428571429
241,500,s_pin,1.1904761904761905
241,500,a_ped,0.3968253968253968
249,300,p_oc,45.39473684210527
249,300,s_pin,17.105263157894736
249,300,a_ped,0.6578947368421052
249,400,p_oc,45.91836734693878
249,400,s_pin,16.581632653061224
249,400,a_ped,1.2755102040816326
249,500,p_oc,44.88262910798122
249,500,s_pin,16.150234741784036
249,500,a_ped,0.9389671361502347
257,300,p_oc,40.397350993377486
257,300,s_pin,11.258278145695364
257,300,a_ped,2.6490066225165565
257,400,p_oc,37.530266343825666
257,400,s_pin,12.832929782082324
257,400,a_ped,3.14769975786925
257,500,p_oc,36.699029126213595
257,500,s_pin,13.009708737864079
257,500,a_ped,2.524271844660194
259,300,p_oc,26.837060702875398
259,300,s_pin,20.766773162939298
259,300,a_ped,1.5974440894568689
259,400,p_oc,24.821002386634845
259,400,s_pin,21.957040572792362
259,400,a_ped,1.1933174224343674
259,500,p_oc,24.900398406374503
259,500,s_pin,19.721115537848604
259,500,a_ped,1.394422310756972
385,300,p_oc,52.35920852359208
385,300,s_pin,5.47945205479452
385,300,a_ped,1.82648401826484
385,400,p_oc,52.618453865336654
385,400,s_pin,6.234413965087282
385,400,a_ped,2.493765586034913
385,500,p_oc,53.14009661835749
385,500,s_pin,6.570048309178745
385,500,a_ped,2.318840579710145
449,300,p_oc,37.68545994065282
449,300,s_pin,0.8902077151335311
449,300,a_ped,4.451038575667656
449,400,p_oc,37.25
449,400,s_pin,2.75
449,400,a_ped,4.75
449,500,p_oc,41.17647058823529
449,500,s_pin,2.5735294117647056
449,500,a_ped,4.779411764705882
577,300,p_oc,46
577,300,s_pin,3.6666666666666665
577,300,a_ped,1.6666666666666667
577,400,p_oc,47.549019607843135
577,400,s_pin,3.431372549019608
577,400,a_ped,2.696078431372549
577,500,p_oc,48.64864864864865
577,500,s_pin,3.474903474903475
577,500,a_ped,2.5096525096525095
609,300,p_oc,63.12292358803987
609,300,s_pin,7.308970099667775
609,300,a_ped,2.6578073089700998
609,400,p_oc,66.33416458852868
609,400,s_pin,7.4812967581047385
609,400,a_ped,1.99501246882793
609,500,p_oc,65.49019607843137
609,500,s_pin,7.8431372549019605
609,500,a_ped,1.5686274509803921
705,300,p_oc,45.107794361525706
705,300,s_pin,3.6484245439469323
705,300,a_ped,3.316749585406302
705,400,p_oc,47.665847665847664
705,400,s_pin,4.176904176904177
705,400,a_ped,3.9312039312039313
705,500,p_oc,45.22417153996101
705,500,s_pin,4.483430799220272
705,500,a_ped,3.7037037037037033
